datetime,T2
2021-03-19 00:00:12,290.791
2021-03-19 00:00:52,290.786
2021-03-19 00:01:32,290.803
2021-03-19 00:02:12,290.818
2021-03-19 00:02:52,290.799
2021-03-19 00:03:33,290.827
2021-03-19 00:04:13,290.814
2021-03-19 00:04:53,290.817
2021-03-19 00:05:33,290.821
2021-03-19 00:06:13,290.829
2021-03-19 00:06:53,290.845
2021-03-19 00:07:33,290.843
2021-03-19 00:08:13,290.835
2021-03-19 00:08:54,290.851
2021-03-19 00:09:34,290.856
2021-03-19 00:10:14,290.845
2021-03-19 00:10:54,290.846
2021-03-19 00:11:34,290.853
2021-03-19 00:12:14,290.879
2021-03-19 00:12:54,290.867
2021-03-19 00:13:34,290.868
2021-03-19 00:14:15,290.87
2021-03-19 00:14:55,290.887
2021-03-19 00:15:35,290.88
2021-03-19 00:16:15,290.902
2021-03-19 00:16:55,290.917
2021-03-19 00:17:35,290.922
2021-03-19 00:18:15,290.889
2021-03-19 00:18:55,290.931
2021-03-19 00:19:36,290.928
2021-03-19 00:20:16,290.938
2021-03-19 00:20:56,290.928
2021-03-19 00:21:36,290.953
2021-03-19 00:22:16,290.932
2021-03-19 00:22:56,290.945
2021-03-19 00:23:36,290.957
2021-03-19 00:24:16,290.927
2021-03-19 00:24:57,290.952
2021-03-19 00:25:37,290.944
2021-03-19 00:26:17,290.984
2021-03-19 00:26:57,290.966
2021-03-19 00:27:37,290.982
2021-03-19 00:28:17,290.973
2021-03-19 00:28:57,290.966
2021-03-19 00:29:38,291.001
2021-03-19 00:30:18,290.997
2021-03-19 00:30:58,291.006
2021-03-19 00:31:38,290.993
2021-03-19 00:32:18,290.996
2021-03-19 00:32:58,291.01
2021-03-19 00:33:38,290.999
2021-03-19 00:34:19,291.014
2021-03-19 00:34:59,291.011
2021-03-19 00:35:39,291.027
2021-03-19 00:36:19,291.004
2021-03-19 00:36:59,291.023
2021-03-19 00:37:40,291.021
2021-03-19 00:38:20,291.023
2021-03-19 00:39:00,291.024
2021-03-19 00:39:40,291.058
2021-03-19 00:40:20,291.045
2021-03-19 00:41:00,291.058
2021-03-19 00:41:40,291.06
2021-03-19 00:42:21,291.064
2021-03-19 00:43:01,291.081
2021-03-19 00:43:41,291.067
2021-03-19 00:44:21,291.061
2021-03-19 00:45:01,291.089
2021-03-19 00:45:42,291.066
